host1;99.208.179.157;router1;AS1
host2;99.41.237.215;router2;AS2
host3;99.12.83.199;router3;AS3
host4;99.207.155.115;router4;AS4
host5;99.49.184.242;router5;AS5
host6;99.156.41.56;router6;AS6
host7;99.213.63.86;router7;AS7
host8;99.173.157.179;router8;AS8
host9;99.116.64.86;router9;AS9
host10;99.83.146.224;router10;AS10
host11;99.64.4.231;router11;AS11
host12;99.194.146.92;router12;AS12
host13;99.142.200.208;router13;AS13
host14;99.50.143.252;router14;AS14
host15;99.54.215.165;router15;AS15
host16;99.56.0.73;router16;AS16
host17;99.46.232.156;router17;AS17
host18;99.73.136.103;router18;AS18
host19;99.220.43.54;router19;AS19
host20;99.86.255.107;router20;AS20
